,0
0,
1,28
2,28
3,28
4,28
5,27
6,27
7,27
8,27
9,28
10,28
11,27
12,27
13,28
14,28
15,29
16,30
17,32
18,33
19,31
20,30
21,30
22,30
23,30
24,30
25,29
26,29
27,30
28,29
29,29
30,29
31,29
32,28
33,28
34,28
35,28
36,29
37,31
38,31
39,31
40,31
41,30
42,28
43,26
44,25
45,25
46,27
47,27
48,27
49,27
50,27
51,26
52,25
53,25
54,26
55,28
56,27
57,28
58,27
59,28
60,28
61,28
62,28
63,28
64,28
65,28
66,28
67,28
68,28
69,28
70,28
71,28
72,28
73,29
74,29
75,29
76,29
77,29
78,29
79,28
80,28
81,27
82,27
83,28
84,29
85,27
86,27
87,27
88,27
89,27
90,27
91,27
92,26
93,25
94,25
95,25
96,25
97,25
98,26
99,26
100,26
101,26
102,27
103,27
104,27
105,27
106,27
107,27
108,27
109,26
110,26
111,26
112,26
113,26
114,25
115,23
116,23
117,24
118,25
119,26
120,27
121,27
122,27
123,27
124,27
125,27
126,28
127,28
128,28
129,26
130,23
131,15
132,7
133,177
134,175
135,175
136,176
137,177
138,178
139,176
140,175
141,175
142,176
143,176
144,177
145,177
146,179
147,178
148,9
149,9
150,11
151,11
152,12
153,10
154,10
155,10
156,28
157,28
158,28
159,28
160,27
161,27
162,27
163,27
164,28
165,28
166,27
167,27
168,28
169,28
170,29
171,29
172,31
173,33
174,32
175,30
176,30
177,30
178,30
179,30
180,29
181,29
182,30
183,29
184,29
185,29
186,29
187,28
188,28
189,28
190,28
191,29
192,30
193,32
194,31
195,31
196,30
197,28
198,26
199,25
200,25
201,27
202,27
203,27
204,27
205,27
206,26
207,26
208,27
209,28
210,28
211,27
212,28
213,27
214,28
215,28
216,28
217,28
218,28
219,28
220,28
221,28
222,28
223,28
224,28
225,28
226,27
227,28
228,29
229,29
230,29
231,29
232,29
233,29
234,28
235,28
236,27
237,27
238,28
239,29
240,27
241,27
242,27
243,27
244,27
245,27
246,27
247,26
248,25
249,25
250,25
251,25
252,25
253,25
254,26
255,26
256,26
257,27
258,27
259,27
260,27
261,27
262,27
263,27
264,26
265,26
266,26
267,26
268,26
269,25
270,23
271,23
272,24
273,25
274,26
275,27
276,27
277,27
278,27
279,27
280,27
281,28
282,28
283,27
284,26
285,23
286,15
287,7
288,177
289,175
290,175
291,176
292,177
293,178
294,176
295,175
296,175
297,175
298,175
299,175
300,175
301,177
302,176
303,9
304,9
305,11
306,11
307,11
308,10
309,10
310,10
311,28
312,28
313,27
314,27
315,27
316,27
317,27
318,27
319,28
320,28
321,27
322,28
323,29
324,29
325,27
326,28
327,31
328,33
329,32
330,30
331,30
332,29
333,30
334,30
335,29
336,29
337,30
338,29
339,29
340,29
341,29
342,28
343,28
344,28
345,28
346,29
347,30
348,31
349,31
350,31
351,26
352,28
353,26
354,25
355,25
356,27
357,27
358,27
359,27
360,27
361,26
362,26
363,27
364,28
365,28
366,27
367,28
368,27
369,28
370,28
371,28
372,28
373,28
374,28
375,28
376,28
377,27
378,28
379,28
380,28
381,27
382,28
383,29
384,29
385,29
386,29
387,29
388,29
389,28
390,28
391,28
392,28
393,28
394,29
395,27
396,27
397,26
398,26
399,26
400,26
401,26
402,26
403,25
404,25
405,25
406,25
407,25
408,25
409,26
410,26
411,26
412,26
413,26
414,27
415,27
416,27
417,27
418,27
419,26
420,26
421,26
422,26
423,26
424,25
425,23
426,23
427,24
428,25
429,26
430,26
431,26
432,26
433,26
434,26
435,27
436,28
437,28
438,27
439,26
440,23
441,15
442,7
443,177
444,175
445,175
446,176
447,177
448,178
449,176
450,175
451,175
452,175
453,175
454,175
455,175
456,176
457,176
458,9
459,9
460,11
461,11
462,11
463,10
464,10
465,10
466,28
467,28
468,28
469,28
470,28
471,28
472,27
473,27
474,27
475,27
476,27
477,27
478,27
479,27
480,27
481,28
482,31
483,31
484,29
485,28
486,29
487,28
488,28
489,29
490,29
491,29
492,29
493,29
494,28
495,28
496,28
497,28
498,28
499,28
500,28
501,29
502,30
503,30
504,31
505,31
506,29
507,28
508,26
509,26
510,27
511,27
512,28
513,28
514,28
515,27
516,28
517,27
518,28
519,28
520,28
521,28
522,29
523,28
524,29
525,28
526,28
527,28
528,27
529,27
530,27
531,27
532,27
533,27
534,27
535,27
536,27
537,28
538,28
539,28
540,28
541,28
542,28
543,28
544,28
545,28
546,28
547,28
548,28
549,28
550,27
551,26
552,26
553,26
554,26
555,26
556,26
557,26
558,25
559,25
560,25
561,25
562,25
563,25
564,26
565,26
566,26
567,26
568,26
569,27
570,27
571,27
572,27
573,27
574,26
575,26
576,26
577,26
578,26
579,25
580,23
581,23
582,23
583,24
584,26
585,26
586,26
587,26
588,26
589,26
590,27
591,27
592,27
593,27
594,25
595,22
596,11
597,3
598,177
599,174
600,174
601,177
602,178
603,179
604,176
605,175
606,175
607,175
608,175
609,175
610,175
611,175
612,176
613,8
614,9
615,9
616,11
617,11
618,10
619,10
620,10
621,28
622,28
623,28
624,28
625,28
626,28
627,28
628,27
629,27
630,27
631,26
632,26
633,27
634,27
635,27
636,28
637,29
638,29
639,27
640,27
641,27
642,27
643,26
644,28
645,28
646,28
647,28
648,29
649,29
650,28
651,28
652,28
653,28
654,28
655,28
656,29
657,29
658,29
659,30
660,30
661,29
662,28
663,27
664,27
665,27
666,28
667,28
668,28
669,28
670,28
671,28
672,28
673,29
674,28
675,28
676,28
677,29
678,28
679,28
680,29
681,28
682,28
683,27
684,27
685,27
686,27
687,27
688,27
689,27
690,27
691,27
692,28
693,28
694,28
695,28
696,28
697,29
698,29
699,29
700,29
701,29
702,28
703,28
704,28
705,27
706,26
707,26
708,26
709,26
710,26
711,26
712,26
713,25
714,25
715,25
716,25
717,25
718,25
719,26
720,26
721,26
722,26
723,26
724,27
725,27
726,27
727,27
728,27
729,26
730,26
731,26
732,26
733,26
734,25
735,23
736,23
737,24
738,24
739,26
740,26
741,26
742,26
743,26
744,26
745,26
746,27
747,27
748,27
749,23
750,20
751,7
752,179
753,175
754,173
755,174
756,176
757,178
758,179
759,176
760,176
761,175
762,175
763,175
764,175
765,175
766,176
767,178
768,4
769,4
770,6
771,9
772,11
773,10
774,10
775,10
